date,month,prescriptions_100,pills_100,average_daily_dose_100,prescriptions_300,pills_300,average_daily_dose_300,prescriptions_400,pills_400,average_daily_dose_400,prescriptions_600,pills_600,average_daily_dose_600,prescriptions_800,pills_800,average_daily_dose_800,prescriptions_total,pills_total,weight_100,weight_300,weight_400,weight_600,weight_800,weighted_average_daily_dose_100,weighted_average_daily_dose_300,weighted_average_daily_dose_400,weighted_average_daily_dose_600,weighted_average_daily_dose_800,weighted_average_daily_dose_total
2017-04-01,1,146966,13686133,310.41494858221176,326891,36782746,1125.2296943017705,25509,2560923,1338.5722686110785,43489,3921401,1803.3990204419508,2570,201275,2088.4565499351493,545425,57152478,0.23946700963692247,0.6435896970206612,0.044808608298663795,0.06861296547806729,0.003521719565685323,74.3341394835813,724.1862380343276,59.979560463647594,123.73655473276395,7.354958293990283,989.5914510083107
2017-05-01,2,161798,15088606,300.82524246681146,356698,40121762,1088.5261933877741,27637,2791477,1303.2911699719987,47619,4319062,1755.4914716205037,2786,219772,2035.7270222078132,596538,62540679,0.241260668116507,0.6415306427997048,0.04463458095809929,0.069060043303975,0.00351406482171388,72.57729898385315,698.3229085483746,58.17185523809111,121.23431704987078,7.153676715352827,957.4600565355424
2017-06-01,3,164653,15381661,311.395500436271,362166,40662396,1122.7557528867978,28014,2829278,1346.6019371266748,48661,4377883,1799.3395121349747,2772,216218,2080.01924001924,606266,63467436,0.24235516619893074,0.64068124636388335,0.04457841971117283,0.06897841280369353,0.0034067549223195342,75.46830826183167,719.3285551217339,60.029386337111276,124.11558364204281,7.086115784454883,986.0279491471745
2017-07-01,4,160187,14924558,300.54708237167165,353050,39725216,1088.904048133546,27528,2768739,1297.7936833816127,46654,4185096,1736.225362552324,2642,206327,2015.35493638739,590061,61809936,0.24145888130348492,0.6426995167896631,0.04479440004597319,0.06770911395216458,0.0033380879087142237,72.56976228849017,699.838105565738,58.133889430533024,117.55828091969357,6.7274319449222695,954.8274701493771
2017-08-01,5,165369,15409540,300.5895515386021,362850,40713437,1085.8509114670153,28018,2804410,1291.524572912805,49034,4407424,1739.7108260627583,2782,213776,1983.0337886412653,608053,63548587,0.2424843844285633,0.640666282635049,0.044130170825041316,0.06935518487610118,0.003363977235245215,72.88827237049583,695.6680669454523,56.99520002738062,120.6579659725373,6.670880521711288,952.8803858375774
2017-09-01,6,161669,15077322,310.86813180015963,355081,39975532,1125.8144479710265,27461,2779569,1349.5837733512983,47673,4315497,1810.457491661947,2701,211464,2087.7600888559796,594585,62359384,0.24178112471412483,0.6410507839525804,0.04457338770376564,0.06920365024773176,0.003391053381797357,75.16204654442139,721.7042344569682,60.155520768298395,125.29026704135912,7.07970590969662,989.3917747207437
2017-10-01,7,164771,15276840,299.0825389920439,362452,40714183,1087.0631768638198,28313,2835991,1292.4604336546645,48876,4409383,1746.1104995129215,2730,209297,1978.4662649178779,607142,63445694,0.24078608077011499,0.6417170407183189,0.04469950316880449,0.06949853838780612,0.0032988369549555247,72.01491239066935,697.586964930905,57.772339249701105,121.35212757975009,6.526637628843923,955.2529817798694
2017-11-01,8,165037,15302733,309.0768130782794,363133,40749938,1122.176668052752,28654,2862552,1332.0080966008236,49230,4437924,1802.9347958561852,2857,223258,2083.845525609614,608911,63576405,0.24069830623483665,0.6409600857425015,0.04502538323769644,0.06980457608447663,0.0035116487004888054,74.39426540440306,719.2704533733265,59.974175025166666,125.85309913269342,7.3177334320264125,986.8097263676161
2017-12-01,9,161565,15053543,300.55900800936007,363068,41107834,1095.7114049905163,28885,2909250,1299.5918185016221,50058,4532955,1752.659173423345,2739,215214,2027.714376567855,606315,63818796,0.23587945783245426,0.6441336499046456,0.04558609974403152,0.07102852582803348,0.003372266690835095,70.89569585590813,705.7845865386886,59.243322264742254,124.48879736723988,6.837993650627228,967.250395677206
2018-01-01,10,164340,15223624,298.8223470617563,367757,41256282,1085.6471581383464,28913,2889184,1289.3782571295644,50313,4535215,1744.6456152228982,2747,213948,2009.9158025764177,614070,64118253,0.23743042406348783,0.6434405191919375,0.04506024204995105,0.07073204255892623,0.003336772135697459,70.94951658251954,698.549371091789,58.099696360202195,123.40234790619007,6.706631045134985,957.7075629858358
2018-02-01,11,148972,13768587,330.0856872432404,331014,37099334,1200.8339957999185,26347,2612623,1416.6009683943414,45942,4105606,1914.9638985801973,2553,196037,2193.911924346707,554828,57782187,0.23828428300922566,0.6420548602634234,0.045215024484968,0.07105314307331427,0.0033926891690686614,78.65423131636304,771.001303372885,64.05164747137952,136.06420386605043,7.443261223621658,1057.2146472502995
2018-03-01,12,164541,15231735,298.6163268258857,364823,40978530,1087.0104663215825,28698,2858970,1285.453184328907,50830,4552937,1733.6486580822855,2769,210581,1962.5671314903482,611661,63832753,0.2386194278664434,0.64196714185271,0.0447884489644368,0.07132603226434554,0.0032989490520642277,71.25565705877173,697.8250022284478,57.57345434248802,123.65428012141645,6.4744089780424945,956.7828027291665
2018-04-01,13,159880,14778882,308.12446835126343,354091,39751300,1122.6294935482688,28339,2813379,1323.6783231588975,49349,4406733,1785.9462197815558,2717,206927,2030.9360814623974,594376,61957221,0.23853364888654383,0.6415926886068696,0.04540841171685218,0.0711254140982211,0.0033398366915133267,73.49805374705326,720.2708750750021,60.10613027867172,127.02616443911575,6.7829948429864135,987.6842183828293
2018-05-01,14,167571,15545280,299.2526422598722,368490,41385502,1086.881212691026,29160,2934328,1298.4326740121244,51927,4639721,1729.3710711749807,2718,208926,1983.6787011322367,619866,64713757,0.2402160022945353,0.6395162932666697,0.045343187229880656,0.0716960537463464,0.0032284634625679358,71.8852733997432,695.0782443613477,58.87507584312635,123.98908126633806,6.404234208079647,956.231909078635
2018-06-01,15,164624,15262649,309.04058136521206,359267,40344034,1122.954070371061,28748,2869655,1330.947080376606,50999,4560998,1788.66173846546,2734,209664,2045.003657644477,606372,63247000,0.24131814947744556,0.6378805951270416,0.04537219156639841,0.07211406074596423,0.003315003083150189,74.57710120848692,716.3106107086263,60.38798589558603,128.98766126168016,6.779193430144855,987.0425525045242
2018-07-01,16,166351,15361725,297.8879093777809,362765,40664095,1084.7890507628906,29238,2896266,1278.1713589694366,51990,4628488,1723.0936470413046,2787,210795,1951.8733289350325,613131,63761369,0.2409252693429465,0.637754421489915,0.04542352282304352,0.07259078769152526,0.003305998652569709,71.7687248008491,691.8290135078813,58.05904589590876,125.0807251049913,6.45289059544597,953.1903999050764
2018-08-01,17,170942,15746523,297.14894808690065,371888,41524518,1080.5677359676795,30276,2987385,1273.183486121233,53971,4836011,1734.2686424788462,2760,213873,1999.7475455820477,629837,65308310,0.2411105569873114,0.6358228837953394,0.0457428005716271,0.07404893802947894,0.00327482061624317,71.6457483814263,687.0496940191708,58.238978296732526,128.42075123338466,6.548814489553768,951.9039864202681
2018-09-01,18,160412,14782783,307.1836479398881,347390,38839324,1118.0322979936095,28143,2791639,1322.5972118584846,50391,4503587,1787.4568871425452,2565,197653,2054.8719948018193,588901,61114986,0.24188474820234762,0.6355122784450936,0.045678469107397,0.07369038749350282,0.003234116751658914,74.30303933381843,710.5232530731226,60.414215883407195,131.71839064146448,6.645695940903332,983.6045948727161
2018-10-01,19,174249,16073532,297.56327569057186,377884,42066975,1077.3140912674687,30705,3007256,1263.7454234100783,55579,4975975,1732.8342278268249,2765,213235,1990.1767485270957,641182,66336973,0.242301257852088,0.6341407076261981,0.04533303019418749,0.07501058271079086,0.003214421616735512,72.0999559904132,683.1687201720272,57.28940943721533,129.98090517049346,6.397267161589891,948.9362579317391
2018-11-01,20,170426,15687295,306.8251518743228,367719,40902310,1112.3251722103018,29797,2925355,1309.0154489825597,54547,4860746,1782.2230370139512,2739,206334,2008.8499452354874,625228,64582040,0.2429049159797368,0.6333387734422758,0.04529672645831566,0.07526467110670397,0.0031949130129676918,74.52933773650236,704.4786602366408,59.29411472227226,134.13843071964612,6.418100831132294,978.8586442461939
2018-12-01,21,166875,15445463,298.5712311223873,365489,40952445,1084.339019425941,29962,2927926,1260.9201763093465,54639,4886990,1731.1243475504027,2707,214162,2041.6554452613893,619672,64426986,0.23973592370128877,0.6356411737156228,0.04544564602168415,0.0758531525904378,0.003324103970966452,71.5782498837565,689.2505270135526,57.30333199415413,131.3112392877628,6.7866749729386635,956.2300231521647
2019-01-01,22,173235,15932528,296.6793754893828,374891,41707072,1076.6244743310765,30557,2977138,1257.1484069433434,55911,4980383,1724.0705706823228,2721,208186,1974.473331673602,637315,65805307,0.24211615637626308,0.6337949612483382,0.04524160946471992,0.07568360709874053,0.0031636658119382375,71.83087006959947,682.3591669876771,56.87541726612553,130.4838796820223,6.246573775999563,947.7959077814239
2019-02-01,23,148813,13677975,328.2637317592261,324369,35949939,1187.4683396290732,26254,2551767,1388.5051529562843,48347,4303503,1907.4176562883204,2411,186565,2210.8787106713276,550194,56669749,0.24136290068974894,0.6343761819026232,0.045028733054737896,0.07594003989677103,0.0032921444561189073,79.23068648864847,753.3016314241389,62.522627877596534,144.84937291834055,7.2785320904879285,1047.1828507992125
2019-03-01,24,159929,14660903,295.713944837215,349482,38651505,1070.2892354417256,28918,2818617,1257.6682900927874,52886,4657756,1704.6121115045996,2693,206362,1977.5235676724603,593908,60995143,0.24036181044775976,0.6336816851138458,0.04621051548317544,0.07636273596407504,0.0033832529911439015,71.07833915572196,678.2226862739224,58.11749999203153,130.1688445919902,6.690462525385411,944.2778325390515
2019-04-01,25,158718,14446945,303.40908613599805,348675,38159673,1094.419531081953,29009,2804956,1289.2348351660978,53646,4678861,1744.3466428065467,2616,196968,2007.82874617737,592664,60287403,0.23963455516569523,0.6329626273667818,0.04652640287059637,0.07760926440968108,0.0032671501872455844,72.70730138943,692.7266618351542,59.98345933574477,135.3774598237128,6.559878064030461,967.3547604480723
2019-05-01,26,168243,15302837,293.4088807414314,369171,40298223,1056.3744260134367,30226,2925976,1249.0746057122367,56781,4955019,1689.0085336360241,2707,203985,1944.6357710594991,627128,63686040,0.24028557906881948,0.6327638364702846,0.04594375784708862,0.07780384837870277,0.003202978235104585,70.50192281288903,668.435534553357,57.387181217790705,131.41136386135233,6.228626049909399,933.9646284952985
2019-06-01,27,155564,14198473,304.2364771626683,340159,37195568,1093.4759333135385,28170,2741600,1297.6452490829486,52479,4588508,1748.7025286304997,2557,197376,2058.4122017989835,578929,58921525,0.2409725987234716,0.6312730025232715,0.04652968503445897,0.0778749022534634,0.0033498114653346123,73.31265452836229,690.281835609774,60.379024726291654,136.18003848748444,6.895292793970898,967.0488461458833
2019-07-01,28,162656,14778448,293.0873309513686,351102,38212566,1053.252404732675,28999,2813675,1251.9564078405374,54624,4745030,1681.2992516582574,2525,191770,1959.9616735867137,599906,60741489,0.24330071987533924,0.629101568451837,0.04632212753296186,0.07811843400809618,0.0031571501317657854,71.30835860680978,662.6027397929947,57.99328438969818,131.34046463852707,6.187893256020183,929.4327406840499
2019-08-01,29,169829,15532022,295.02203259863484,371472,40504721,1055.2105433726954,30624,2972549,1252.4644386018133,57757,5042228,1689.6914603843577,2702,207722,1983.925885246293,632384,64259242,0.24170876463186416,0.630333003305579,0.04625870003259609,0.07846696977844837,0.0032325622515123973,71.30941103859759,665.1340309238229,57.937376766775145,132.5849687568817,6.413163926445483,933.3789514125228
2019-09-01,30,160391,14652887,304.5242979136402,346209,37776897,1091.158722043621,28749,2787400,1292.7522116711305,53691,4669859,1739.5313925983871,2610,195962,2002.1660280970625,591650,60083005,0.2438773992745536,0.628745133503226,0.04639248652759628,0.07772345940420257,0.0032615212904214762,74.26659379108794,686.0607363645261,59.97398956347322,135.2023975749567,6.530107127597173,962.0338244216412
2019-10-01,31,170795,15556819,293.82175764380804,369487,40167956,1052.0590841862086,30658,2971226,1250.518624828756,57394,4987975,1682.0826499791483,2786,210100,1946.136211008962,631120,63894076,0.24347826862696942,0.6286647920223465,0.046502370579707575,0.07806631400382096,0.003288254767155565,71.5392128360474,661.3925053551432,58.15208050861312,131.31399233365144,6.399391673384288,928.7971827068394
2019-11-01,32,162566,14840554,304.2980286980877,350892,38209822,1088.9339739862978,29105,2826387,1294.800206150146,54650,4743148,1735.827264409881,2693,202163,2001.8616165367,599906,60822074,0.2439994729545066,0.6282229376130778,0.04646975701617804,0.0779839898257991,0.0033238425904384646,74.24855862342872,684.0933000043549,60.16905096429452,135.36673572708486,6.653872901208677,960.5315182203717
2019-12-01,33,165228,15162370,296.0204745427042,361349,39493928,1057.701289406658,29945,2930256,1262.6400012926924,56278,4889714,1681.6451509728777,2731,205796,1944.6592882200778,615531,62682064,0.24189327907262276,0.6300674464069977,0.04674791819235563,0.07800818428697562,0.003283172041048297,71.60536325976857,666.4231504778419,59.02579148682659,131.1820848423912,6.384651004449042,934.6210410712773
2020-01-01,34,169250,15501246,295.44472292371466,366202,39901777,1054.4623705830609,30396,2960624,1256.7969469667062,57201,4958355,1677.7357264789528,2785,207379,1921.6215903167893,625834,63529381,0.24400121260429092,0.6280838310072626,0.04660243738247662,0.07804821835112796,0.003264300654841891,72.08887065092513,662.2907653688087,58.569801023503715,130.9442843157176,6.272750615629412,930.1664719745845
2020-02-01,35,153927,14077382,315.3618049577016,331475,36026988,1124.347173422867,27563,2682290,1342.2741881607901,51907,4500527,1793.8688755685732,2489,187524,2078.3751956886163,567361,57474711,0.2449317578995743,0.6268319992074427,0.046669047191903235,0.07830447377108168,0.0032627219299980474,77.24212126267254,704.776786519893,62.64265743174952,140.46795831571913,6.781160329737231,991.9106838597714
2020-03-01,36,172432,16045525,300.1748983049326,375243,41470253,1069.5070368594697,31066,3050163,1266.8815404456277,58028,5090262,1697.8217412283725,2884,220378,1971.974408303879,639653,65876581,0.24356948640063758,0.6295143489611278,0.046301173401819384,0.07726967493956616,0.003345316296849103,73.11344581049605,673.270026017934,58.65810188373707,131.19013405004455,6.596878125068334,942.82858588728
2020-04-01,37,164176,15058394,305.73681090212125,359827,39371437,1094.1768405372582,30169,2948015,1302.8892792822655,56226,4911881,1747.192046384235,2796,213545,2036.6714353838818,613194,62503272,0.24092169126761875,0.6299100149508973,0.047165770777568256,0.07858598186667731,0.0034165411372383834,73.6586295653072,689.2329499817498,61.45177709517844,137.30480247475433,6.958371742027378,968.6065308590172
2020-05-01,38,158158,14545472,296.6709076958158,343617,37663896,1060.7429671088225,28738,2805372,1259.5987329353738,53276,4652103,1690.080021506991,2630,197288,1935.8567398503617,586419,59864131,0.24297474559515447,0.6291563139870852,0.04686231894020144,0.07771102532165713,0.0032955961559017703,72.0835383228744,667.3731352739107,59.0277175594911,131.3378513469566,6.379802030227386,936.2020445334603
2020-06-01,39,165381,15174266,305.8446052851698,357581,39091316,1093.215690990293,29643,2885576,1297.9235120152032,55353,4833120,1746.2901739743104,2697,206496,2041.7352614015574,610655,62190774,0.24399545180125914,0.6285709838568659,0.04639877934305819,0.07771442111333106,0.003320363885485651,74.62469264753277,687.1636624535321,60.22206663816054,135.71192996631171,6.779304025680337,964.5016557312174
2020-07-01,40,173368,15962942,297.0176808310794,371839,40699367,1059.234889119979,31007,3005886,1250.8667657771348,57649,5027376,1687.8705894794919,2837,218925,1991.4266546897563,636700,64914496,0.24590720075836375,0.6269688514565376,0.04630531214476347,0.0774461223576318,0.0033725132827034502,73.03878646891185,664.1072818542461,57.921776040820966,130.71903219667684,6.7161128444709,932.5029894051266
2020-08-01,41,155924,14315749,296.16887383514387,336272,36708091,1056.4055000790452,28181,2726230,1248.2580919883105,52130,4532795,1682.937197948058,2548,196265,1987.7956145237251,575055,58479130,0.24480099139641784,0.6277126728800514,0.04661885359785619,0.07751132754539954,0.0033561545802750486,72.50243393560382,663.1191200998048,58.19236124274235,130.44669638848882,6.671349356334455,930.9319610229743
2020-09-01,42,167719,15470169,307.4620645245917,361304,39451290,1091.9140114695658,30361,2931833,1287.5434493813334,55941,4879286,1744.440035036914,2744,210254,2043.284742468416,618069,62942832,0.24578126703927144,0.6267797101979777,0.04657929913290206,0.07751932737948619,0.0033403962503625513,75.56841578536438,684.3895476700058,59.97287147534167,135.2278181699089,6.825380692164508,961.9840337927852
2020-10-01,43,171369,15807693,297.5599908064827,365697,39942829,1057.0048604489862,30628,2967925,1250.3528291632788,56536,4928067,1687.1009964533018,2818,214255,1962.0870441173104,627048,63860769,0.24753370884086912,0.6254673976757155,0.04647493361691275,0.07716892666920437,0.0033550331972983286,73.65612812698357,661.1220793956102,58.11006473308243,130.19177307884647,6.582867169002527,929.6629125035251
2020-11-01,44,162990,15005922,306.88839806123076,349362,38088920,1090.242212948174,29218,2824531,1288.9456271248316,53752,4679303,1741.0712159547552,2647,200946,2024.3898753305627,597969,60799622,0.2468094620719846,0.6264663948075203,0.046456390797955945,0.07696269887993712,0.003305053442601995,75.74296044162544,683.0001086126155,59.87976177102758,133.99753972205178,6.6907167266299,959.3110872739502
2020-12-01,45,175922,16201316,297.0766002968324,380878,41740112,1060.54056086709,31704,3071179,1249.9405793916305,58618,5119292,1690.3181781661253,2909,223218,1980.2215593430842,650031,66355117,0.24416076306519058,0.6290413443171233,0.04628398138458561,0.07714992048013418,0.0033639907529663463,72.53444941728722,667.1238601106703,57.85222650840038,130.40791303164184,6.661447014454734,934.5798960824545
2021-01-01,46,163824,15102982,297.388030900195,350697,38362158,1058.596709759652,29394,2841097,1247.1700390907076,54038,4717956,1689.8345131084577,2681,205019,1973.4475580849705,600634,61229212,0.24666301437947624,0.6265335898819014,0.046401005454716614,0.07705400487597325,0.00334838540793241,73.35462814221893,663.2463968028841,57.869943786807056,130.208516812647,6.607863006811562,931.2873485513686
2021-02-01,47,154651,14212820,328.22336375821317,330786,36146963,1170.8140286641944,27785,2663720,1369.5570580220572,51033,4439067,1863.9481176045751,2453,188341,2193.7103255488905,566708,57650911,0.24653244421410792,0.6269972559496935,0.046204300223460476,0.07699907812384786,0.0032669214888902624,80.91770811548854,734.0971831998556,63.27942548201041,143.52228672623383,7.166679402936124,1028.9832829265245
2021-03-01,48,175069,16081916,296.3240116016929,371313,40417407,1053.3867566559575,31297,2983317,1229.971336013861,57019,4962562,1684.5189690589837,2783,211984,1965.7042180056333,637481,64657186,0.24872588794693293,0.6251030937226374,0.046140532623860246,0.0767519019463668,0.003278583760202617,73.70345290562832,658.475320472094,56.75153255576053,129.29003474001001,6.444725926515053,924.665066600008
2021-04-01,49,169940,15624240,306.4658114628692,360262,39370843,1092.8391837051925,30229,2901827,1279.9307508242637,55371,4811297,1737.8400245615935,2781,212518,2037.8089416277119,618583,62920725,0.24831627416880528,0.625721381945297,0.046118778828438484,0.07646601338430223,0.0033775516731569767,76.10044846257922,683.8128442719834,59.02884321298142,132.88569857790293,6.8828050003689265,958.710639525816
